Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
14.8 Crore,2 Kanal,Islamabad,8 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
13.5 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
1.35 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
1.7 Crore,5 Marla,Islamabad,4 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
14.9 Crore,1.1 Kanal,Islamabad,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
29 Crore,1.3 Kanal,Islamabad,6 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
29 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
3.15 Crore,13.3 Marla,Islamabad,4 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
1.6 Crore,8 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
6 Crore,7.8 Marla,Islamabad,3 Beds,3 Baths,"F-10, Islamabad, Islamabad Capital",Flat,,,,,,
3.8 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
2.2 Crore,5 Marla,Islamabad,3 Beds,3 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
5.3 Crore,4 Marla,Islamabad,3 Beds,3 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
1.17 Crore,2.8 Marla,Islamabad,1 Bed,1 Bath,"G-15, Islamabad, Islamabad Capital",Flat,,,,,,
10 Crore,1.6 Kanal,Islamabad,8 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
14.9 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
22.25 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
